"scientificName","coordinateUncertaintyInMeters","publishingCountry","stateProvince","year","references","gbifID","Species_name","Latitude_WGS84","Longitude_WGS84","FID_1","Id","Long_m","Lat_m"
"Anaxyrus boreas (Baird & Girard, 1852)",580,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/129774081",3889066413,"Western toad",54.498343,-124.856874,0,0,-1772956.03013185,1976486.97631966
"Anaxyrus boreas (Baird & Girard, 1852)",17,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/129781050",3888990172,"Western toad",48.63282,-124.322753,0,0,-1942810.02832783,1311758.01203143
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/129884849",3889011728,"Western toad",50.487612,-119.258675,0,0,-1550287.66305234,1428436.85917963
"Anaxyrus boreas (Baird & Girard, 1852)",8,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/129896457",4599719710,"Western toad",49.185909,-124.113371,0,0,-1909854.93444621,1369719.0285496
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/130045776",4453704543,"Western toad",49.34275,-124.626092,0,0,-1938146.40476526,1397747.0455757
"Anaxyrus boreas (Baird & Girard, 1852)",12,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/130114644",3902238909,"Western toad",49.531945,-116.357978,0,0,-1384049.92239771,1274298.50222307
"Anaxyrus boreas (Baird & Girard, 1852)",72,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/130187701",3892412550,"Western toad",49.301633,-122.697804,0,0,-1812534.3218313,1354969.76179953
"Anaxyrus boreas (Baird & Girard, 1852)",42,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/130195580",3892404582,"Western toad",56.27952,-120.732955,0,0,-1472994.63650907,2102727.00035362
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/130329292",3892531692,"Western toad",48.504162,-124.30815,0,0,-1946294.60562946,1296981.67221323
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/130388737",3892650693,"Western toad",48.858067,-125.022736,0,0,-1981344.82025376,1351553.64802652
